base_term,term,field,count,quoted_count,quoted_phrase_found,query_translation
Zenker Diverticulum,"""Zenker Diverticulum""",title/abstract,159,159,True,"""Zenker Diverticulum""[Title/Abstract]"
Zenker Diverticulum,"""Zenker's Diverticulum""",title/abstract,755,755,True,"""Zenker's Diverticulum""[Title/Abstract]"
Zenker Diverticulum,"""Diverticulum of Zenker""",title/abstract,195,0,False,Diverticulum[Title/Abstract] AND Zenker[Title/Abstract]
Mallory-Weiss Tear,"""Mallory-Weiss Tear""",title/abstract,154,154,True,"""Mallory-Weiss Tear""[Title/Abstract]"
Mallory-Weiss Tear,"""Mallory Weiss Tear""",title/abstract,154,154,True,"""Mallory Weiss Tear""[Title/Abstract]"
Mallory-Weiss Tear,"""Mallory and Weiss Tear""",title/abstract,173,0,False,Mallory[Title/Abstract] AND Weiss[Title/Abstract] AND Tear[Title/Abstract]
Mallory-Weiss Tear,"""Mallory's and Weiss' Tear""",title/abstract,0,0,False,Mallory's[Title/Abstract] AND Weiss'[Title/Abstract] AND Tear[Title/Abstract]
Mallory-Weiss Tear,"""Mallory's and Weiss's Tear""",title/abstract,0,0,False,Mallory's[Title/Abstract] AND Weiss's[Title/Abstract] AND Tear[Title/Abstract]
Mallory-Weiss Tear,"""Mallory and Weiss' Tear""",title/abstract,0,0,False,Mallory[Title/Abstract] AND Weiss'[Title/Abstract] AND Tear[Title/Abstract]
Mallory-Weiss Tear,"""Mallory Weiss' Tear""",title/abstract,0,0,False,Mallory[Title/Abstract] AND Weiss'[Title/Abstract] AND Tear[Title/Abstract]
Mallory-Weiss Tear,"""Mallory-Weiss' Tear""",title/abstract,33071,0,False,Tear[Title/Abstract]
Mallory-Weiss Tear,"""Mallory and Weiss's Tear""",title/abstract,0,0,False,Mallory[Title/Abstract] AND Weiss's[Title/Abstract] AND Tear[Title/Abstract]
Mallory-Weiss Tear,"""Mallory Weiss's Tear""",title/abstract,0,0,False,Mallory[Title/Abstract] AND Weiss's[Title/Abstract] AND Tear[Title/Abstract]
Mallory-Weiss Tear,"""Mallory-Weiss's Tear""",title/abstract,0,0,False,Mallory-Weiss's[Title/Abstract] AND Tear[Title/Abstract]
Mallory-Weiss Tear,"""Tear of Mallory and Weiss""",title/abstract,173,0,False,Tear[Title/Abstract] AND Mallory[Title/Abstract] AND Weiss[Title/Abstract]
Mallory-Weiss Tear,"""Tear of Mallory Weiss""",title/abstract,173,0,False,Tear[Title/Abstract] AND Mallory[Title/Abstract] AND Weiss[Title/Abstract]
Mallory-Weiss Tear,"""Tear of Mallory-Weiss""",title/abstract,173,0,False,Tear[Title/Abstract] AND Mallory-Weiss[Title/Abstract]
Boerhaave Syndrome,"""Boerhaave Syndrome""",title/abstract,258,258,True,"""Boerhaave Syndrome""[Title/Abstract]"
Boerhaave Syndrome,"""Boerhaave's Syndrome""",title/abstract,484,484,True,"""Boerhaave's Syndrome""[Title/Abstract]"
Boerhaave Syndrome,"""Syndrome of Boerhaave""",title/abstract,278,0,False,Syndrome[Title/Abstract] AND Boerhaave[Title/Abstract]
Schatzki Ring,"""Schatzki Ring""",title/abstract,49,49,True,"""Schatzki Ring""[Title/Abstract]"
Schatzki Ring,"""Schatzki's Ring""",title/abstract,77,77,True,"""Schatzki's Ring""[Title/Abstract]"
Schatzki Ring,"""Ring of Schatzki""",title/abstract,58,0,False,Ring[Title/Abstract] AND Schatzki[Title/Abstract]
