base_term,term
Zenker Diverticulum,Zenker Diverticulum
Zenker Diverticulum,Zenker's Diverticulum
Zenker Diverticulum,Diverticulum of Zenker
Mallory-Weiss Tear,Mallory-Weiss Tear
Mallory-Weiss Tear,Mallory Weiss Tear
Mallory-Weiss Tear,Mallory and Weiss Tear
Mallory-Weiss Tear,Mallory's and Weiss' Tear
Mallory-Weiss Tear,Mallory's and Weiss's Tear
Mallory-Weiss Tear,Mallory and Weiss' Tear
Mallory-Weiss Tear,Mallory Weiss' Tear
Mallory-Weiss Tear,Mallory-Weiss' Tear
Mallory-Weiss Tear,Mallory and Weiss's Tear
Mallory-Weiss Tear,Mallory Weiss's Tear
Mallory-Weiss Tear,Mallory-Weiss's Tear
Mallory-Weiss Tear,Tear of Mallory and Weiss
Mallory-Weiss Tear,Tear of Mallory Weiss
Mallory-Weiss Tear,Tear of Mallory-Weiss
Boerhaave Syndrome,Boerhaave Syndrome
Boerhaave Syndrome,Boerhaave's Syndrome
Boerhaave Syndrome,Syndrome of Boerhaave
Schatzki Ring,Schatzki Ring
Schatzki Ring,Schatzki's Ring
Schatzki Ring,Ring of Schatzki
Barrett Esophagus,Barrett Esophagus
Barrett Esophagus,Barrett's Esophagus
Barrett Esophagus,Esophagus of Barrett
Zollinger-Ellison Syndrome,Zollinger-Ellison Syndrome
Zollinger-Ellison Syndrome,Zollinger Ellison Syndrome
Zollinger-Ellison Syndrome,Zollinger and Ellison Syndrome
Zollinger-Ellison Syndrome,Zollinger's and Ellison's Syndrome
Zollinger-Ellison Syndrome,Zollinger and Ellison's Syndrome
Zollinger-Ellison Syndrome,Zollinger Ellison's Syndrome
Zollinger-Ellison Syndrome,Zollinger-Ellison's Syndrome
Zollinger-Ellison Syndrome,Syndrome of Zollinger and Ellison
Zollinger-Ellison Syndrome,Syndrome of Zollinger Ellison
Zollinger-Ellison Syndrome,Syndrome of Zollinger-Ellison
Menetrier Disease,Menetrier Disease
Menetrier Disease,Menetrier's Disease
Menetrier Disease,Disease of Menetrier
Carman Meniscus Sign,Carman Meniscus Sign
Carman Meniscus Sign,Carman's Meniscus Sign
Carman Meniscus Sign,Meniscus Sign of Carman
Meckel Diverticulum,Meckel Diverticulum
Meckel Diverticulum,Meckel's Diverticulum
Meckel Diverticulum,Diverticulum of Meckel
Hirschsprung Disease,Hirschsprung Disease
Hirschsprung Disease,Hirschsprung's Disease
Hirschsprung Disease,Disease of Hirschsprung
Lieberkuhn Crypts,Lieberkuhn Crypts
Lieberkuhn Crypts,Lieberkuhn's Crypts
Lieberkuhn Crypts,Crypts of Lieberkuhn
Escherichia coli,Escherichia coli
Caroli Disease,Caroli Disease
Caroli Disease,Caroli's Disease
Caroli Disease,Disease of Caroli
Klatskin Tumor,Klatskin Tumor
Klatskin Tumor,Klatskin's Tumor
Klatskin Tumor,Tumor of Klatskin
Heister Spiral Valves,Heister Spiral Valves
Heister Spiral Valves,Heister's Spiral Valves
Heister Spiral Valves,Spiral Valves of Heister
Rokitansky-Aschoff Sinuses,Rokitansky-Aschoff Sinuses
Rokitansky-Aschoff Sinuses,Rokitansky Aschoff Sinuses
Rokitansky-Aschoff Sinuses,Rokitansky and Aschoff Sinuses
Rokitansky-Aschoff Sinuses,Rokitansky's and Aschoff's Sinuses
Rokitansky-Aschoff Sinuses,Rokitansky and Aschoff's Sinuses
Rokitansky-Aschoff Sinuses,Rokitansky Aschoff's Sinuses
Rokitansky-Aschoff Sinuses,Rokitansky-Aschoff's Sinuses
Rokitansky-Aschoff Sinuses,Sinuses of Rokitansky and Aschoff
Rokitansky-Aschoff Sinuses,Sinuses of Rokitansky Aschoff
Rokitansky-Aschoff Sinuses,Sinuses of Rokitansky-Aschoff
Oddi Sphincter,Oddi Sphincter
Oddi Sphincter,Oddi's Sphincter
Oddi Sphincter,Sphincter of Oddi
Vater Ampulla,Vater Ampulla
Vater Ampulla,Vater's Ampulla
Vater Ampulla,Ampulla of Vater
Wirsung Duct,Wirsung Duct
Wirsung Duct,Wirsung's Duct
Wirsung Duct,Duct of Wirsung
Santorini Duct,Santorini Duct
Santorini Duct,Santorini's Duct
Santorini Duct,Duct of Santorini
Rigler Sign,Rigler Sign
Rigler Sign,Rigler's Sign
Rigler Sign,Sign of Rigler
Crohn Disease,Crohn Disease
Crohn Disease,Crohn's Disease
Crohn Disease,Disease of Crohn
Whipple Disease,Whipple Disease
Whipple Disease,Whipple's Disease
Whipple Disease,Disease of Whipple
Behcet Disease,Behcet Disease
Behcet Disease,Behcet's Disease
Behcet Disease,Disease of Behcet
Peutz-Jeghers Syndrome,Peutz-Jeghers Syndrome
Peutz-Jeghers Syndrome,Peutz Jeghers Syndrome
Peutz-Jeghers Syndrome,Peutz and Jeghers Syndrome
Peutz-Jeghers Syndrome,Peutz's and Jeghers' Syndrome
Peutz-Jeghers Syndrome,Peutz's and Jeghers's Syndrome
Peutz-Jeghers Syndrome,Peutz and Jeghers' Syndrome
Peutz-Jeghers Syndrome,Peutz Jeghers' Syndrome
Peutz-Jeghers Syndrome,Peutz-Jeghers' Syndrome
Peutz-Jeghers Syndrome,Peutz and Jeghers's Syndrome
Peutz-Jeghers Syndrome,Peutz Jeghers's Syndrome
Peutz-Jeghers Syndrome,Peutz-Jeghers's Syndrome
Peutz-Jeghers Syndrome,Syndrome of Peutz and Jeghers
Peutz-Jeghers Syndrome,Syndrome of Peutz Jeghers
Peutz-Jeghers Syndrome,Syndrome of Peutz-Jeghers
Kaposi Sarcoma,Kaposi Sarcoma
Kaposi Sarcoma,Kaposi's Sarcoma
Kaposi Sarcoma,Sarcoma of Kaposi
Chagas Disease,Chagas Disease
Chagas Disease,Chagas' Disease
Chagas Disease,Chagas's Disease
Chagas Disease,Disease of Chagas
